# Rig calib list with one line of data per calib:
#   RIG_ID, NUM_SENSORS, REF_SENSOR_TYPE, REF_SENSOR_ID, SENSORS[] as (SENSOR_TYPE, SENSOR_ID, HAS_POSE, [QW, QX, QY, QZ, TX, TY, TZ])
# Number of rigs: 120
2 1 CAMERA 2
3 1 CAMERA 3
4 1 CAMERA 4
5 1 CAMERA 5
6 1 CAMERA 6
7 1 CAMERA 7
8 1 CAMERA 8
9 1 CAMERA 9
10 1 CAMERA 10
11 1 CAMERA 11
12 1 CAMERA 12
13 1 CAMERA 13
14 1 CAMERA 14
15 1 CAMERA 15
16 1 CAMERA 16
17 1 CAMERA 17
18 1 CAMERA 18
20 1 CAMERA 20
21 1 CAMERA 21
22 1 CAMERA 22
23 1 CAMERA 23
24 1 CAMERA 24
25 1 CAMERA 25
26 1 CAMERA 26
27 1 CAMERA 27
28 1 CAMERA 28
29 1 CAMERA 29
30 1 CAMERA 30
31 1 CAMERA 31
32 1 CAMERA 32
33 1 CAMERA 33
34 1 CAMERA 34
35 1 CAMERA 35
36 1 CAMERA 36
37 1 CAMERA 37
55 1 CAMERA 55
56 1 CAMERA 56
57 1 CAMERA 57
58 1 CAMERA 58
59 1 CAMERA 59
60 1 CAMERA 60
61 1 CAMERA 61
62 1 CAMERA 62
63 1 CAMERA 63
64 1 CAMERA 64
65 1 CAMERA 65
66 1 CAMERA 66
67 1 CAMERA 67
68 1 CAMERA 68
69 1 CAMERA 69
70 1 CAMERA 70
71 1 CAMERA 71
72 1 CAMERA 72
73 1 CAMERA 73
74 1 CAMERA 74
75 1 CAMERA 75
76 1 CAMERA 76
78 1 CAMERA 78
79 1 CAMERA 79
80 1 CAMERA 80
81 1 CAMERA 81
82 1 CAMERA 82
83 1 CAMERA 83
84 1 CAMERA 84
88 1 CAMERA 88
89 1 CAMERA 89
90 1 CAMERA 90
92 1 CAMERA 92
163 1 CAMERA 163
164 1 CAMERA 164
165 1 CAMERA 165
166 1 CAMERA 166
178 1 CAMERA 178
179 1 CAMERA 179
180 1 CAMERA 180
181 1 CAMERA 181
182 1 CAMERA 182
212 1 CAMERA 212
213 1 CAMERA 213
223 1 CAMERA 223
235 1 CAMERA 235
236 1 CAMERA 236
237 1 CAMERA 237
261 1 CAMERA 261
262 1 CAMERA 262
263 1 CAMERA 263
264 1 CAMERA 264
274 1 CAMERA 274
275 1 CAMERA 275
276 1 CAMERA 276
277 1 CAMERA 277
278 1 CAMERA 278
279 1 CAMERA 279
280 1 CAMERA 280
281 1 CAMERA 281
282 1 CAMERA 282
283 1 CAMERA 283
284 1 CAMERA 284
285 1 CAMERA 285
286 1 CAMERA 286
287 1 CAMERA 287
288 1 CAMERA 288
289 1 CAMERA 289
290 1 CAMERA 290
291 1 CAMERA 291
292 1 CAMERA 292
293 1 CAMERA 293
328 1 CAMERA 328
329 1 CAMERA 329
330 1 CAMERA 330
331 1 CAMERA 331
332 1 CAMERA 332
333 1 CAMERA 333
334 1 CAMERA 334
335 1 CAMERA 335
336 1 CAMERA 336
337 1 CAMERA 337
338 1 CAMERA 338
339 1 CAMERA 339
340 1 CAMERA 340
